Date,WinningVector,SumWinningVector, , , 
20170826,959368626054,15307597634634,,,
20170823,918576676054,14348229008580,,,
20170819,988773555251,13429652332526,,,
20170816,757170696753,12440878777275,,,
20170812,959287756755,11683708080522,,,
20170809,847772625957,10724420323767,,,
20170805,727964595553,9876647697810,,,
20170802,878476756257,9148683102257,,,
20170729,888583695351,8270206346000,,,
20170726,999882746456,7381622650649,,,
20170722,959283686255,6381739904193,,,
20170719,989590897361,5422456217938,,,
20170715,908873716652,4432865320577,,,
20170712,888770595551,3523991603925,,,
20170708,807574686664,2635221008374,,,
20170705,969167645351,1827646321710,,,
20170701,858478676359,858478676359,,,