Year,Gaming Activity,Total Wager,Prizes,Net Revenue,Operating Expenses,Commercial Revenue,Charitable Revenue,Provincial Revenue
1997/1998,VLT,$404746.00,$283751.00,$120996.00,$9309.00,$31336.00,,$80351.00
1998/1999,VLT,$419712.00,$290609.00,$129103.00,$8591.00,$27921.00,$4915.00,$87676.00
1999/2000,VLT,$450542.00,$311420.00,$139122.00,$10970.00,$25487.00,$4246.00,$98419.00
2000/2001,VLT,$475681.00,$328311.00,$147370.00,$11200.00,$25840.00,$5667.00,$104663.00
2001/2002,VLT,$575750.00,$413162.00,$162588.00,$16300.00,$28404.00,$6371.00,$111513.00
2002/2003,VLT,$767519.00,$585615.00,$181904.00,$24792.00,$32145.00,$7022.00,$117945.00
2003/2004,VLT,$821481.00,$638418.00,$183063.00,$25858.00,$32779.00,$6554.00,$117872.00
2004/2005,VLT,$895076.00,$694847.00,$200229.00,$26397.00,$34756.00,$6521.00,$132555.00
2005/2006,VLT,$819962.00,$637757.00,$182205.00,$28330.00,$30706.00,$5777.00,$117392.00
2006/2007,VLT,$717153.00,$565849.00,$151304.00,$24704.00,$25401.00,$5496.00,$95703.00
2007/2008,VLT,$673048.00,$532310.00,$140738.00,$16880.00,$23066.00,$5857.00,$94935.00
2008/2009,VLT,$708447.00,$561410.00,$147037.00,$16367.00,$23925.00,$6078.00,$100667.00
2009/2010,VLT,$688477.00,$543399.00,$145078.00,$17318.00,$22603.00,$5676.00,$99481.00
2010/2011,VLT,$672622.00,$532643.00,$139979.00,$24473.00,$20630.00,$5162.00,$89714.00
2011/2012,VLT,$676758.00,$539558.00,$137200.00,$20727.00,$20057.00,$4872.00,$91544.00
2012/2013,VLT,$579753.00,$465881.00,$113872.00,$21242.00,$17268.00,$3886.00,$71476.00
2013/2014,VLT,$586659.00,$480772.00,$105887.00,$21561.00,$16426.00,$3740.00,$64160.00
2014/2015,VLT,$595979.00,$482936.00,$113043.00,$23919.00,$17248.00,$3785.00,$68091.00
2015/2016,VLT,$613118.00,$480544.00,$132574.00,$29648.00,$19089.00,$4396.00,$79441.00